DATEDESC	STOREID	PRODUCTID	SALESQTY	Category	Product	Country	NETAMOUNT	GROSSMARGIN
1/31/2014	20003	119393	16026	Electronics	Laptop	India	1200113	49606.7
4/30/2014	20003	100582010	15374	Electronics	Desktop	India	1141070	34769.2
5/31/2014	20003	100582010	12080	Electronics	Mobile	Indonesia	908133	31285.7
12/11/2014	20003	100582010	9514	Electronics	Mobile	Indonesia	698905	32549.2
11/19/2014	20003	100582010	9435	Electronics	Laptop	India	693110	32570.1
1/26/2014	20003	119393	8961	Electronics	Desktop	China	683840	26461.2
6/7/2014	20003	100582010	8562	Electronics	Mobile	China	636358	20140.4
7/31/2014	20003	100582010	8500	Electronics	Mobile	China	626019	23510.2
11/21/2014	20003	100582010	8030	Electronics	Laptop	Japan	590394	28162.3
11/1/2014	20003	100582010	8003	Electronics	Mobile	Japan	587900	28937.9
9/5/2014	20003	100742597	7200	Electronics	Mobile	Japan	308088	5083.2
9/7/2014	20003	100582010	7151	Electronics	Laptop	Japan	525615	24708.4
6/22/2014	20003	100582010	7099	Electronics	Desktop	Japan	527145	16442.7
2/15/2014	20003	100582010	6932	Electronics	Mobile	Indonesia	511883	13165.4
2/23/2014	20003	100582010	6599	Electronics	Mobile	Indonesia	487296	12544.0
3/2/2014	20003	100582010	6528	Electronics	Laptop	Indonesia	494096	21449.2
2/9/2014	20009	119393	6094	Vehicle	Bike	Indonesia	456553	18028.5
12/25/2014	20009	100582010	6093	Vehicle	Car	Indonesia	447635	20839.1
4/15/2014	20009	100582010	6076	Vehicle	Truck	Singapore	455066	13494.8
2/6/2014	20009	119393	6043	Vehicle	Bus	Singapore	452520	17303.6
8/8/2014	20009	100582010	5995	Vehicle	Bike	Singapore	441532	18764.4
7/26/2014	20009	100582010	5959	Vehicle	Bike	Singapore	438904	14336.3
11/13/2014	20009	100032233	5812	Vehicle	Bike	Singapore	114363	7475.7
5/24/2014	20009	100582010	5554	Vehicle	Bike	Japan	417584	12807.9
6/5/2014	20009	100582010	5437	Vehicle	Bike	Japan	404087	12207.3
2/5/2014	200010	119393	5241	Vehicle	Car	India	392843	15385.7
11/8/2014	200010	100582010	5086	Vehicle	Car	India	373657	17658.6
4/25/2014	200010	100002865	4820	Vehicle	Car	Indonesia	101120	20553.5
10/31/2014	200011	100001287	4804	Vehicle	Car	India	688101	53884.5
10/15/2014	200011	100582010	4721	Vehicle	Car	Singapore	346814	16121.7
12/18/2014	200011	100582010	4523	Vehicle	Car	Singapore	332270	15450.1
9/13/2014	200053	100582010	4053	Vehicle	Car	Singapore	297758	13857.1
8/21/2014	200056	100002879	4050	Vehicle	Truck	Singapore	205173	35118.4
5/23/2014	200078	100582010	4042	Vehicle	Bus	India	303906	9372.0
2/25/2014	200203	100582010	4029	Vehicle	Bus	India	301734	11875.7
3/7/2014	203003	100582010	4024	Vehicle	Bus	China	305226	13876.6
5/27/2014	204003	100002865	3952	Vehicle	Bus	China	82976	16785.5
9/10/2014	200403	100582010	3832	Vehicle	Bus	China	281513	13093.0
5/19/2014	200503	100582010	3676	Vehicle	Truck	Japan	276364	8653.5
6/9/2014	200053	100582010	3242	Vehicle	Truck	Japan	241201	7936.4
2/17/2014	200176	100582010	3158	Vehicle	Truck	Singapore	233365	6160.2
11/9/2014	199838	100582010	3107	Vehicle	Truck	Japan	228290	10813.3
9/1/2014	199499	100582010	3051	Vehicle	Bike	Japan	224150	10436.6
4/5/2014	199161	100582010	3034	Vehicle	Car	Indonesia	224336	838.1
7/3/2014	198822	100582010	3011	Vehicle	Truck	Singapore	224623	8003.7
7/18/2014	198483	100582010	3008	Vehicle	Bus	Indonesia	225259	9316.5
1/29/2014	198145	285896	2984	Vehicle	Bike	Indonesia	63257	15818.6
6/30/2014	197806	100001373	2705	Vehicle	Bus	Indonesia	441113	8172.4
8/18/2014	197468	100032177	2659	Vehicle	Bike	Singapore	34881	6339.9
1/12/2014	197129	285896	2105	Vehicle	Bike	Singapore	43815	11967.5
6/15/2014	196791	100051257	2095	Vehicle	Bike	China	5953	1730.1
5/5/2014	196452	100582010	2038	Vehicle	Car	Singapore	151372	3390.1
3/15/2014	196113	100051257	1835	Vehicle	Car	Singapore	5213	386.7
3/16/2014	195775	100051257	1817	Vehicle	Car	Japan	5161	382.9
11/13/2014	195436	100582010	1774	Vehicle	Truck	China	130329	6156.5
1/20/2014	195098	285896	1772	Vehicle	Car	India	37346	9612.3
3/30/2014	194759	100051257	1752	Vehicle	Car	India	4977	369.0
5/18/2014	194421	100051255	1673	Vehicle	Car	Indonesia	3178	452.2
11/30/2014	20003	100037029	1560	Vehicle	Truck	India	46006	6258.4
8/12/2014	20003	100001287	1468	Vehicle	Bus	Singapore	210339	16395.3
8/24/2014	20003	100051257	1454	Vehicle	Bus	Singapore	4131	1282.5
4/6/2014	20003	100051257	1449	Vehicle	Truck	Singapore	4116	666.1
1/3/2014	20003	119393	1331	Vehicle	Bus	Singapore	103473	5777.8
3/29/2014	20008	100582010	1324	Clothing	Men	India	100931	3012.7
4/13/2014	20008	100051257	1321	Clothing	Women	India	3753	607.3
5/25/2014	20008	100051255	1294	Clothing	Baby	China	2458	373.4
6/29/2014	20008	100051259	1279	Clothing	Women	Indonesia	6062	1689.3
3/23/2014	20008	100051255	1274	Clothing	Women	China	2420	24.8
1/26/2014	20007	285896	1271	Clothing	Women	Japan	27003	6678.8
1/12/2014	20007	315835	1266	Clothing	Men	Japan	2405	12.3
5/11/2014	20007	100051255	1255	Clothing	Men	Japan	2384	339.2
1/5/2014	20007	119393	1243	Clothing	Men	Japan	96686	5499.1
7/20/2014	20006	100051259	1243	Clothing	Men	Japan	5890	1479.1
11/16/2014	20006	100051257	1229	Clothing	Women	Indonesia	3491	1100.0
4/13/2014	20006	100051255	1203	Clothing	Women	China	2286	95.5
5/4/2014	20006	100051255	1203	Clothing	Men	Indonesia	2286	324.9
3/2/2014	20006	100051255	1202	Clothing	Men	Indonesia	2284	329.0
12/14/2014	200012	100051257	1190	Clothing	Men	Indonesia	3381	1062.3
11/29/2014	200012	100051257	1123	Electronics	Mobile	Singapore	3191	1006.3
10/12/2014	200012	100582010	1116	Electronics	Laptop	Singapore	82036	3863.6
4/26/2014	200012	100582010	1115	Electronics	Desktop	Singapore	82799	2519.6
10/5/2014	141725	100051257	1110	Electronics	Mobile	Singapore	3153	987.1
4/5/2014	149673	100051257	1101	Electronics	Mobile	China	3128	506.0
10/24/2014	157622	100051257	1076	Electronics	Laptop	Japan	3057	956.7
11/8/2014	20003	100051257	1062	Electronics	Mobile	Japan	3017	950.3
10/26/2014	20003	100051257	1057	Clothing	Women	India	3003	939.9
5/3/2014	20003	100051257	1055	Clothing	Baby	India	2997	756.5
